id,category,feedback_text,sentiment
1,Hostel,Wifi keeps disconnecting late at night.,Negative
2,Lecturer,The lecturer explains concepts with clear real world examples.,Positive
3,Hostel,Hostel curfew timing is ten in the night.,Neutral
4,Lecturer,Teaching pace is comfortable and well planned.,Positive
5,Lecturer,Teaching pace is comfortable and well planned.,Positive
6,Lecturer,Classes are frequently cancelled without notice.,Negative
7,Canteen,Payment by card is now accepted.,Neutral
8,Lecturer,Class timings were changed this week.,Neutral
9,Lecturer,Classes are frequently cancelled without notice.,Negative
10,Security,Street lights near the hostel path are broken.,Negative
11,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
12,Security,CCTV coverage near the labs is reassuring.,Positive
13,Canteen,Fresh snacks are available throughout the day.,Positive
14,Canteen,Fresh snacks are available throughout the day.,Positive
15,Lecturer,The lecturer uses slides for most topics.,Neutral
16,Canteen,Payment by card is now accepted.,Neutral
17,Cleanliness,Garbage near the parking area is not collected.,Negative
18,Security,Street lights near the hostel path are broken.,Negative
19,Hostel,Hostel rooms are spacious and well maintained.,Positive
20,Canteen,The canteen staff are friendly and quick.,Positive
21,Security,Visitors must sign the register.,Neutral
22,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
23,Lecturer,Lectures follow the syllabus as scheduled.,Neutral
24,Hostel,Wifi in the hostel is fast and reliable.,Positive
25,Cleanliness,Campus grounds look neat and well kept.,Positive
26,Lecturer,Assignments are given with very short deadlines.,Negative
27,Hostel,Wifi in the hostel is fast and reliable.,Positive
28,Security,Visitors must sign the register.,Neutral
29,Lecturer,The lecturer speaks too fast to follow.,Negative
30,Cleanliness,Washrooms are dirty and lack soap.,Negative
31,Lecturer,The lecturer speaks too fast to follow.,Negative
32,Security,Street lights near the hostel path are broken.,Negative
33,Hostel,Laundry service is very slow this month.,Negative
34,Hostel,Wifi in the hostel is fast and reliable.,Positive
35,Hostel,Hostel rooms are spacious and well maintained.,Positive
36,Cleanliness,Washrooms are much cleaner after the new schedule.,Positive
37,Canteen,The food was cold and tasted stale.,Negative
38,Cleanliness,Garbage near the parking area is not collected.,Negative
39,Lecturer,Teaching pace is comfortable and well planned.,Positive
40,Security,Security guards check ID cards properly at the gate.,Positive
41,Cleanliness,Garbage near the parking area is not collected.,Negative
42,Cleanliness,Classroom floors are dusty in the evening.,Negative
43,Cleanliness,Washrooms are dirty and lack soap.,Negative
44,Lecturer,Doubt sessions after class are very helpful.,Positive
45,Canteen,Fresh snacks are available throughout the day.,Positive
46,Canteen,Food quality has improved and prices are fair.,Positive
47,Canteen,The canteen staff are friendly and quick.,Positive
48,Security,Gate passes are issued at the security desk.,Neutral
49,Security,Bike theft was reported and no action was taken.,Negative
50,Lecturer,The lecturer uses slides for most topics.,Neutral
51,Security,I feel safe walking on campus at night.,Positive
52,Cleanliness,Campus grounds look neat and well kept.,Positive
53,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
54,Canteen,Food quality has improved and prices are fair.,Positive
55,Hostel,Hostel curfew timing is ten in the night.,Neutral
56,Lecturer,The lecturer uses slides for most topics.,Neutral
57,Lecturer,Assignments are given with very short deadlines.,Negative
58,Lecturer,Doubt sessions after class are very helpful.,Positive
59,Security,CCTV coverage near the labs is reassuring.,Positive
60,Hostel,Laundry service is very slow this month.,Negative
61,Hostel,Hostel curfew timing is ten in the night.,Neutral
62,Cleanliness,Garbage near the parking area is not collected.,Negative
63,Cleanliness,Cleaning staff work in two shifts.,Neutral
64,Canteen,The canteen staff are friendly and quick.,Positive
65,Hostel,Hostel curfew timing is ten in the night.,Neutral
66,Security,CCTV coverage near the labs is reassuring.,Positive
67,Hostel,Warden responds quickly to our requests.,Positive
68,Lecturer,The lecturer speaks too fast to follow.,Negative
69,Lecturer,The lecturer speaks too fast to follow.,Negative
70,Security,Security guards check ID cards properly at the gate.,Positive
71,Hostel,Laundry service is very slow this month.,Negative
72,Security,Street lights near the hostel path are broken.,Negative
73,Canteen,The canteen menu is the same every week.,Neutral
74,Canteen,Prices are too expensive for students.,Negative
75,Canteen,The canteen staff are friendly and quick.,Positive
76,Hostel,Hot water is not available in the morning.,Negative
77,Hostel,Hostel curfew timing is ten in the night.,Neutral
78,Security,Street lights near the hostel path are broken.,Negative
79,Hostel,Wifi keeps disconnecting late at night.,Negative
80,Lecturer,Doubt sessions after class are very helpful.,Positive
81,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
82,Cleanliness,Cleaning staff work in two shifts.,Neutral
83,Cleanliness,Garbage near the parking area is not collected.,Negative
84,Lecturer,Classes are frequently cancelled without notice.,Negative
85,Cleanliness,Washrooms are dirty and lack soap.,Negative
86,Cleanliness,Garbage near the parking area is not collected.,Negative
87,Hostel,Warden responds quickly to our requests.,Positive
88,Cleanliness,Cleaning staff work in two shifts.,Neutral
89,Canteen,Food quality has improved and prices are fair.,Positive
90,Lecturer,Teaching pace is comfortable and well planned.,Positive
91,Canteen,Payment by card is now accepted.,Neutral
92,Cleanliness,Garbage near the parking area is not collected.,Negative
93,Canteen,The canteen menu is the same every week.,Neutral
94,Lecturer,The lecturer explains concepts with clear real world examples.,Positive
95,Security,The back gate is left unattended after eight.,Negative
96,Cleanliness,Washrooms are dirty and lack soap.,Negative
97,Canteen,Food quality has improved and prices are fair.,Positive
98,Hostel,Room allotment happens at the start of term.,Neutral
99,Hostel,Hostel curfew timing is ten in the night.,Neutral
100,Lecturer,The lecturer speaks too fast to follow.,Negative
101,Cleanliness,Classroom floors are dusty in the evening.,Negative
102,Cleanliness,Classroom floors are dusty in the evening.,Negative
103,Canteen,Payment by card is now accepted.,Neutral
104,Security,I feel safe walking on campus at night.,Positive
105,Canteen,The canteen menu is the same every week.,Neutral
106,Canteen,Fresh snacks are available throughout the day.,Positive
107,Lecturer,Class timings were changed this week.,Neutral
108,Security,Visitors must sign the register.,Neutral
109,Lecturer,Classes are frequently cancelled without notice.,Negative
110,Canteen,Food quality has improved and prices are fair.,Positive
111,Lecturer,The lecturer uses slides for most topics.,Neutral
112,Lecturer,Classes are frequently cancelled without notice.,Negative
113,Cleanliness,Campus grounds look neat and well kept.,Positive
114,Security,Visitors must sign the register.,Neutral
115,Cleanliness,Dustbins were relocated near the corridors.,Neutral
116,Security,Bike theft was reported and no action was taken.,Negative
117,Security,Street lights near the hostel path are broken.,Negative
118,Security,The back gate is left unattended after eight.,Negative
119,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
120,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
121,Canteen,Food quality has improved and prices are fair.,Positive
122,Hostel,Hot water is not available in the morning.,Negative
123,Hostel,Hostel rooms are spacious and well maintained.,Positive
124,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
125,Cleanliness,Washrooms are dirty and lack soap.,Negative
126,Canteen,The canteen staff are friendly and quick.,Positive
127,Security,I feel safe walking on campus at night.,Positive
128,Canteen,Food quality has improved and prices are fair.,Positive
129,Hostel,Warden responds quickly to our requests.,Positive
130,Cleanliness,Classrooms are cleaned every morning without fail.,Positive
131,Cleanliness,Campus grounds look neat and well kept.,Positive
132,Hostel,Hostel curfew timing is ten in the night.,Neutral
133,Lecturer,Classes are frequently cancelled without notice.,Negative
134,Lecturer,Notes shared before class make revision easy.,Positive
135,Lecturer,Classes are frequently cancelled without notice.,Negative
136,Hostel,Wifi keeps disconnecting late at night.,Negative
137,Hostel,Warden responds quickly to our requests.,Positive
